Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Funicular,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Sunkid Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Aerial tramway/reversible ropeway,Rope tow/beginner lift,People mover,Combined installation (gondola and chair),Cog railway,Helicopter for Heli-skiing,Snow caterpillars for Cat-skiing
gries-laengenfeld,Europe,Austria,Tyrol (Tirol),http://www.skiresort.info/ski-resort/gries-laengenfeld/,1700,0.5,0,0,,,,0,,0,0,0,-,1.1,1,1.4,,,,,,,,,,,,,,,,,0,,,,,
grimentzzinal,Europe,Switzerland,Lemanic Region,http://www.skiresort.info/ski-resort/grimentzzinal/,2900,26,28,26,,0,0,0,,61,52,37,Swiss Franc,3.9,4.3,3,,,,,,,,,,,,,,,,0,,0,,,,
griminitzen-kirchbach,Europe,Austria,Carinthia (Karnten),http://www.skiresort.info/ski-resort/griminitzen-kirchbach/,460,1,0,0,,,,0,,9,0,7,European Euro,1.3,1,1.5,,,,,,,,,,,,,,,,,,,,,,
grimmialp,Europe,Switzerland,Espace Mittelland,http://www.skiresort.info/ski-resort/grimmialp/,1890,4,4,2,,,0,0,,39,37,26,Swiss Franc,2.1,2.4,2.7,,,,,,,,,,,,,,,,,,,,,,
groellerkopf-uebersaxen,Europe,Austria,Vorarlberg,http://www.skiresort.info/ski-resort/groellerkopf-uebersaxen/,1200,1.5,1.5,0,,,,0,,19,18,12,European Euro,1.5,1.5,1.4,,,,,,,,,,,,,,,,,0,,,,,
groevelfjaell,Europe,Sweden,Central Sweden,http://www.skiresort.info/ski-resort/groevelfjaell/,970,4,1.8,0.7,,,,,,235,0,195,Swedish krona,,,,,,,,,,,,,,,,,,,,,,,,,
gromadzyn-ustrzyki-dolne,Europe,Poland,Subcarpathian Voivodeship (Wojewodztwo podkarpackie),http://www.skiresort.info/ski-resort/gromadzyn-ustrzyki-dolne/,650,2.6,0.8,0,,,,,,90,0,0,Polish zloty,,,,,,,,,,,,,,,,,,,,,,,,,
grong,Europe,Norway,Nord-Trondelag,http://www.skiresort.info/ski-resort/grong/,710,3.5,5.5,1,,,,0,,390,0,290,Norwegian krone,2,2.3,1.5,,,,,,,,,,,,,,,,,,,,,,
grossarltaldorfgastein,Europe,Austria,Salzburg (Salzburger Land),http://www.skiresort.info/ski-resort/grossarltaldorfgastein/,2033,25.5,43.1,1.5,,0,0,0,,51.5,39,26,European Euro,4,4,5,4,5,4,4,4,3,3,5,4,4,5,4,4,4,3,,0,,,,,
grossbuechlberg-mitterteich,Europe,Germany,Bavaria (Bayern),http://www.skiresort.info/ski-resort/grossbuechlberg-mitterteich/,630,0.3,0,0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
grosseckspeiereck-mauterndorfst-michael,Europe,Austria,Salzburg (Salzburger Land),http://www.skiresort.info/ski-resort/grosseckspeiereck-mauterndorfst-michael/,2400,26,17,7,,0,0,0,0,41,30,20.5,European Euro,3,4,4,4,5,4,4,4,3,4,4,3,2,5,4,3,1,4,,,,,,,
grosser-feldberg-oberreifenberg-schmitten,Europe,Germany,Hesse (Hessen),http://www.skiresort.info/ski-resort/grosser-feldberg-oberreifenberg-schmitten/,730,0.5,0,0,,,,,,0,0,0,-,1.1,1,1,,,,,,,,,,,,,,,,,0,,,,,
grosserlach,Europe,Germany,Baden-Wurttemberg,http://www.skiresort.info/ski-resort/grosserlach/,550,1.1,0,0,,,,,,18,0,10,European Euro,,,,,,,,,,,,,,,,,,,,,,,,,
grossglockner-heiligenblut,Europe,Austria,Carinthia (Karnten),http://www.skiresort.info/ski-resort/grossglockner-heiligenblut/,2989,20,34,1,,0,0,0,0,44,35,22,European Euro,3,4,3,5,4,3,4,4,4,4,4,3,3,3,3,5,2,3,0,0,,,,,
grossglockner-resort-kals-matrei,Europe,Austria,Tyrol (Tirol),http://www.skiresort.info/ski-resort/grossglockner-resort-kals-matrei/,2422,8.5,22.5,6,,0,0,0,0,46.5,24,24,European Euro,3,5,4,4,5,3,4,4,4,4,5,3,4,5,4,5,3,4,,,,,,,
grouse-mountain,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/grouse-mountain/,1250,5.2,14.4,13.4,,,0,,0,63,45,28,Canadian Dollar,2,3,4,5,4,5,4,4,5,4,3,2,1,3,3,3,5,1,0,,,,,,
grub-kaien,Europe,Switzerland,Eastern Switzerland,http://www.skiresort.info/ski-resort/grub-kaien/,1065,2,4,0,,,,0,,30,0,20,Swiss Franc,1.7,1.7,1.5,,,,,,,,,,,,,,,,,,,,,,
gruen-maibrunn-st-englmar,Europe,Germany,Bavaria (Bayern),http://www.skiresort.info/ski-resort/gruen-maibrunn-st-englmar/,820,1.8,0,0,,,,0,0,18,14,14,European Euro,1,1,2,3,4,4,2,3,3,3,2,3,2,3,3,1,2,4,,,,,,,
gruenbach,Europe,Germany,Saxony (Sachsen),http://www.skiresort.info/ski-resort/gruenbach/,820,0.3,0,0,,,,,,0,0,0,-,1.1,1,1,,,,,,,,,,,,,,,,,0,,,,,
gruenberg-obsteig,Europe,Austria,Tyrol (Tirol),http://www.skiresort.info/ski-resort/gruenberg-obsteig/,1102,1,0.3,0,,,,0,0,18,0,11,European Euro,1.3,1.3,1.5,,,,,,,,,,,,,,,,,,,,,,
gruensteinlift-schoenau-am-koenigssee,Europe,Germany,Bavaria (Bayern),http://www.skiresort.info/ski-resort/gruensteinlift-schoenau-am-koenigssee/,780,0.5,0,0,,,,0,,0,0,0,-,1.1,1,1.5,,,,,,,,,,,,,,,,,,,,,,
gruentenlifte-kranzegg-rettenberg,Europe,Germany,Bavaria (Bayern),http://www.skiresort.info/ski-resort/gruentenlifte-kranzegg-rettenberg/,1700,2.1,14.7,0,,,0,0,0,31,25,17,European Euro,2.4,2.4,2.1,,,,,,,,,,,,,,,,,,,,,,
gruesch-danusa,Europe,Switzerland,Eastern Switzerland,http://www.skiresort.info/ski-resort/gruesch-danusa/,1800,6,20,6,,0,0,0,0,52,38,26,Swiss Franc,2.9,3.2,3.8,,,,,,,,,,,,,,,,,,,,,,
grun-ski-park-stare-hamry,Europe,Czech Republic,Moravian-Silesian Region (Moravskoslezsky kraj),http://www.skiresort.info/ski-resort/grun-ski-park-stare-hamry/,920,1.5,2.6,0.2,,,,,,460,0,350,Czech koruna,,,,,,,,,,,,,,,,,,,,,,,,,
grun-stare-hamry,Europe,Czech Republic,Moravian-Silesian Region (Moravskoslezsky kraj),http://www.skiresort.info/ski-resort/grun-stare-hamry/,825,0.3,0,0,,,,,,230,0,180,Czech koruna,,,,,,,,,,,,,,,,,,,,,,,,,
grunholzlift-au,Europe,Austria,Vorarlberg,http://www.skiresort.info/ski-resort/grunholzlift-au/,900,1,0,0,,,,0,0,0,0,0,-,1.3,1,1.5,,,,,,,,,,,,,,,,,,,,,,
gruvbacken,Europe,Sweden,Northern Sweden (Norrland),http://www.skiresort.info/ski-resort/gruvbacken/,680,1,0.5,0.7,,,,,,200,0,160,Swedish krona,,,,,,,,,,,,,,,,,,,,,,,,,
gsahl-hauenstein-ifenthal,Europe,Switzerland,Espace Mittelland,http://www.skiresort.info/ski-resort/gsahl-hauenstein-ifenthal/,800,0.2,0,0,,,,,,0,0,0,-,1,1,1,,,,,,,,,,,,,,,,,0,,,,,
gschwandtkopf-seefeld,Europe,Austria,Tyrol (Tirol),http://www.skiresort.info/ski-resort/gschwandtkopf-seefeld/,1500,5,0,0,,,0,0,0,40.5,38,27,European Euro,2,2,2,4,5,4,3,4,3,4,4,3,3,4,4,2,1,5,,0,,,,,
gschwend,Europe,Germany,Baden-Wurttemberg,http://www.skiresort.info/ski-resort/gschwend/,560,0.8,0.2,0,,,,0,,12,10,4,European Euro,1.3,1.3,1.4,,,,,,,,,,,,,,,,,0,,,,,
gspon-staldenried,Europe,Switzerland,Lemanic Region,http://www.skiresort.info/ski-resort/gspon-staldenried/,2200,1.5,3.5,0,,,,0,,34,27,23,Swiss Franc,1.7,1.7,2.3,,,,,,,,,,,,,,,,0,,,,,,
guaipo,Asia,China,,http://www.skiresort.info/ski-resort/guaipo/,0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
guangxiang,Asia,China,,http://www.skiresort.info/ski-resort/guangxiang/,0,0.1,0,0,,,,,,0,0,0,-,1,1,1,,,,,,,,,,,,,,,,,,0,,,,
guangzhou-wanda-mall-planned,Asia,China,Guangdong,http://www.skiresort.info/ski-resort/guangzhou-wanda-mall-planned/,0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
guarda,Europe,Switzerland,Eastern Switzerland,http://www.skiresort.info/ski-resort/guarda/,1670,0.2,0,0,,,,,,0,0,0,-,1,1,1,,,,,,,,,,,,,,,,,0,,,,,
gubalowka-zakopane,Europe,Poland,Lesser Poland (Wojewodztwo malopolskie),http://www.skiresort.info/ski-resort/gubalowka-zakopane/,1123,2.5,0.5,0,0,,0,0,,62,0,50,Polish zloty,1.5,1.5,2.7,,,,,,,,,,,,,,,,,0,,,,,
gucevo,Europe,Serbia,,http://www.skiresort.info/ski-resort/gucevo/,675,0.4,0,0,,,,,,0,0,0,-,1.1,1,1,,,,,,,,,,,,,,,,,0,,,,,
gudauri,Asia,Georgia,Mtskheta-Mtianeti,http://www.skiresort.info/ski-resort/gudauri/,3276,3.4,18.8,10.3,,0,0,0,0,40,0,25,Georgian Lari,2.9,3.2,3.8,,,,,,,,,,,,,,,,,,,,,0,
guemueshane-zigana,Asia,Turkey,Black Sea Region (Karadeniz Bolgesi),http://www.skiresort.info/ski-resort/guemueshane-zigana/,2192,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
gueneykaya,Asia,Turkey,,http://www.skiresort.info/ski-resort/gueneykaya/,0,,,,,,0,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
guettersbach,Europe,Germany,Hesse (Hessen),http://www.skiresort.info/ski-resort/guettersbach/,370,0.3,0,0,,,,,,0,0,0,-,1.1,1,1,,,,,,,,,,,,,,,,,0,0,,,,
gugel-mlynky,Europe,Slovakia,Kosice (Kosicky kraj),http://www.skiresort.info/ski-resort/gugel-mlynky/,996,2,1.9,1.4,,,,,,18,16,11,European Euro,,,,,,,,,,,,,,,,,,,,,,,,,
guilin-sky-lake-high-mountain,Asia,China,,http://www.skiresort.info/ski-resort/guilin-sky-lake-high-mountain/,0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
gujo-kogen,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/gujo-kogen/,1114,0.8,0.2,0,,,0,,,3500,0,3000,Japanese Yen,1.3,1.3,3,,,,,,,,,,,,,,,,,,,,,,
gulmarg-resort-kongdoori-aferwat,Asia,India,Jammu and Kashmir,http://www.skiresort.info/ski-resort/gulmarg-resort-kongdoori-aferwat/,3980,,,,,0,0,,,1600,0,0,Indian rupee,,,,,,,,,,,,,,,,,,,,,,,,,
gunstock,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/gunstock/,690,5,25,10,,,,,,86,74,62,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,
gura-humorului,Europe,Romania,Suceava,http://www.skiresort.info/ski-resort/gura-humorului/,760,0,1.5,0,,,0,,,0,0,0,-,1.3,1,3,,,,,,,,,,,,,,,,,,,,,,
gurnigelbad,Europe,Switzerland,Espace Mittelland,http://www.skiresort.info/ski-resort/gurnigelbad/,1250,0.7,0,0,,,,0,,25,0,18,Swiss Franc,1.2,1,1.5,,,,,,,,,,,,,,,,,,,,,,
gurten-bern,Europe,Switzerland,Espace Mittelland,http://www.skiresort.info/ski-resort/gurten-bern/,855,0.2,0,0,0,,,,,5,0,0,Swiss Franc,1,1,2.4,,,,,,,,,,,,,,,,,0,,,,,
gustavsbergbacken-oestersund,Europe,Sweden,Northern Sweden (Norrland),http://www.skiresort.info/ski-resort/gustavsbergbacken-oestersund/,470,0.6,0.4,0,,,,,,120,0,80,Swedish krona,,,,,,,,,,,,,,,,,,,,,,,,,
